,PEP,Title,Authors,Python Version,Purpose,ChatGPT experiments
SF,308,Conditional Expressions,"Guido van Rossum, Raymond Hettinger",2.5,,
SF,309,Partial Function Application,Peter Harris,2.5,,
SF,311,Simplified Global Interpreter Lock Acquisition for Extensions,Mark Hammond,2.3,,
SF,318,Decorators for Functions and Methods,"Kevin D. Smith, Jim J. Jewett, Skip Montanaro, Anthony Baxter",2.4,,
SF,322,Reverse Iteration,Raymond Hettinger,2.4,,
SF,324,subprocess - New process module,Peter Astrand,2.4,,
SF,327,Decimal Data Type,Facundo Batista,2.4,,
SF,328,Imports: Multi-Line and Absolute/Relative,Aahz,"2.4, 2.5, 2.6",,
SF,331,Locale-Independent Float/String Conversions,Christian R. Reis,2.4,,
SF,338,Executing modules as scripts,Alyssa Coghlan,2.5,,
SF,341,Unifying try-except and try-finally,Georg Brandl,2.5,,
SF,342,Coroutines via Enhanced Generators,"Guido van Rossum, Phillip J. Eby",2.5,,
SF,343,The “with” Statement,"Guido van Rossum, Alyssa Coghlan",2.5,,
SF,352,Required Superclass for Exceptions,"Brett Cannon, Guido van Rossum",2.5,,
SF,353,Using ssize_t as the index type,Martin von Löwis,2.5,,
SF,357,Allowing Any Object to be Used for Slicing,Travis Oliphant,2.5,,
SF,358,The “bytes” Object,"Neil Schemenauer, Guido van Rossum","2.6, 3.0",,
SF,362,Function Signature Object,"Brett Cannon, Jiwon Seo, Yury Selivanov, Larry Hastings",3.3,,
SF,366,Main module explicit relative imports,Alyssa Coghlan,"2.6, 3.0",,
SF,370,Per user site-packages directory,Christian Heimes,"2.6, 3.0",,
SF,371,Addition of the multiprocessing package to the standard library,"Jesse Noller, Richard Oudkerk","2.6, 3.0",,
SF,372,Adding an ordered dictionary to collections,"Armin Ronacher, Raymond Hettinger","2.7, 3.1",,
SF,376,Database of Installed Python Distributions,Tarek Ziadé,"2.7, 3.2",,
SF,378,Format Specifier for Thousands Separator,Raymond Hettinger,"2.7, 3.1",,
SF,380,Syntax for Delegating to a Subgenerator,Gregory Ewing,3.3,,
SF,383,Non-decodable Bytes in System Character Interfaces,Martin von Löwis,3.1,,
SF,384,Defining a Stable ABI,Martin von Löwis,3.2,,
SF,389,argparse - New Command Line Parsing Module,Steven Bethard,"2.7, 3.2",,
SF,391,Dictionary-Based Configuration For Logging,Vinay Sajip,"2.7, 3.2",,
SF,393,Flexible String Representation,Martin von Löwis,3.3,,
SF,397,Python launcher for Windows,"Mark Hammond, Martin von Löwis",3.3,,
SF,405,Python Virtual Environments,Carl Meyer,3.3,,
SF,409,Suppressing exception context,Ethan Furman,3.3,,
SF,412,Key-Sharing Dictionary,Mark Shannon,3.3,,
SF,414,Explicit Unicode Literal for Python 3.3,"Armin Ronacher, Alyssa Coghlan",3.3,,
SF,415,Implement context suppression with exception attributes,Benjamin Peterson,3.3,,
SF,417,Including mock in the Standard Library,Michael Foord,3.3,,
SF,418,"Add monotonic time, performance counter, and process time functions","Cameron Simpson, Jim J. Jewett, Stephen J. Turnbull, Victor Stinner",3.3,,
SF,420,Implicit Namespace Packages,Eric V. Smith,3.3,,
SF,421,Adding sys.implementation,Eric Snow,3.3,,
SF,424,A method for exposing a length hint,Alex Gaynor,3.4,,
SF,425,Compatibility Tags for Built Distributions,Daniel Holth,3.4,,
SF,427,The Wheel Binary Package Format 1.0,Daniel Holth,,,
SF,428,The pathlib module – object-oriented filesystem paths,Antoine Pitrou,3.4,,
SF,435,Adding an Enum type to the Python standard library,"Barry Warsaw, Eli Bendersky, Ethan Furman",3.4,,
SF,436,The Argument Clinic DSL,Larry Hastings,3.4,,
SF,440,Version Identification and Dependency Specification,"Alyssa Coghlan, Donald Stufft",,,
SF,441,Improving Python ZIP Application Support,"Daniel Holth, Paul Moore",3.5,,
SF,442,Safe object finalization,Antoine Pitrou,3.4,,
SF,443,Single-dispatch generic functions,Łukasz Langa,3.4,,
SF,445,Add new APIs to customize Python memory allocators,Victor Stinner,3.4,,
SF,446,Make newly created file descriptors non-inheritable,Victor Stinner,3.4,,
SF,448,Additional Unpacking Generalizations,Joshua Landau,3.5,,
SF,450,Adding A Statistics Module To The Standard Library,Steven D’Aprano,3.4,,
SF,451,A ModuleSpec Type for the Import System,Eric Snow,3.4,,
SF,453,Explicit bootstrapping of pip in Python installations,"Donald Stufft, Alyssa Coghlan",,,
SF,454,Add a new tracemalloc module to trace Python memory allocations,Victor Stinner,3.4,,
SF,456,Secure and interchangeable hash algorithm,Christian Heimes,3.4,,
SF,461,Adding % formatting to bytes and bytearray,Ethan Furman,3.5,,
SF,465,A dedicated infix operator for matrix multiplication,Nathaniel J. Smith,3.5,,
SF,466,Network Security Enhancements for Python 2.7.x,Alyssa Coghlan,2.7.9,,
SF,468,Preserving the order of **kwargs in a function.,Eric Snow,3.6,,
SF,471,os.scandir() function – a better and faster directory iterator,Ben Hoyt,3.5,,
SF,475,Retry system calls failing with EINTR,"Charles-François Natali, Victor Stinner",3.5,,
SF,476,Enabling certificate verification by default for stdlib http clients,Alex Gaynor,"2.7.9, 3.4.3, 3.5",,
SF,477,Backport ensurepip (PEP 453) to Python 2.7,"Donald Stufft, Alyssa Coghlan",,,
SF,479,Change StopIteration handling inside generators,"Chris Angelico, Guido van Rossum",3.5,,
SF,484,Type Hints,"Guido van Rossum, Jukka Lehtosalo, Łukasz Langa",3.5,,
SF,485,A Function for testing approximate equality,Christopher Barker,3.5,,
SF,486,Make the Python Launcher aware of virtual environments,Paul Moore,3.5,,
SF,487,Simpler customisation of class creation,Martin Teichmann,3.6,,
SF,488,Elimination of PYO files,Brett Cannon,3.5,,
SF,489,Multi-phase extension module initialization,"Petr Viktorin, Stefan Behnel, Alyssa Coghlan",3.5,,
SF,492,Coroutines with async and await syntax,Yury Selivanov,3.5,,
SF,493,HTTPS verification migration tools for Python 2.7,"Alyssa Coghlan, Robert Kuska, Marc-André Lemburg",2.7.12,,
SF,495,Local Time Disambiguation,"Alexander Belopolsky, Tim Peters",3.6,,
SF,498,Literal String Interpolation,Eric V. Smith,3.6,,
SF,503,Simple Repository API,Donald Stufft,,,
SF,506,Adding A Secrets Module To The Standard Library,Steven D’Aprano,3.6,Overcome cryptographic security issues of the random library when used for applications like website password generation etc.,https://chatgpt.com/share/db3b311d-2fe8-4c0a-9aaf-e9c158057fb8
SF,508,Dependency specification for Python Software Packages,Robert Collins,,,
SF,515,Underscores in Numeric Literals,"Georg Brandl, Serhiy Storchaka",3.6,,
SF,517,A build-system independent format for source trees,"Nathaniel J. Smith, Thomas Kluyver",,,
SF,518,Specifying Minimum Build System Requirements for Python Projects,"Brett Cannon, Nathaniel J. Smith, Donald Stufft",,,
SF,519,Adding a file system path protocol,"Brett Cannon, Koos Zevenhoven",3.6,,
SF,520,Preserving Class Attribute Definition Order,Eric Snow,3.6,,
SF,523,Adding a frame evaluation API to CPython,"Brett Cannon, Dino Viehland",3.6,,
SF,524,Make os.urandom() blocking on Linux,Victor Stinner,3.6,,
SF,525,Asynchronous Generators,Yury Selivanov,3.6,,
SF,526,Syntax for Variable Annotations,"Ryan Gonzalez, Philip House, Ivan Levkivskyi, Lisa Roach, Guido van Rossum",3.6,,
SF,527,Removing Un(der)used file types/extensions on PyPI,Donald Stufft,,,
SF,528,Change Windows console encoding to UTF-8,Steve Dower,3.6,,
SF,529,Change Windows filesystem encoding to UTF-8,Steve Dower,3.6,,
SF,530,Asynchronous Comprehensions,Yury Selivanov,3.6,,
SF,538,Coercing the legacy C locale to a UTF-8 based locale,Alyssa Coghlan,3.7,,
SF,539,A New C-API for Thread-Local Storage in CPython,"Erik M. Bray, Masayuki Yamamoto",3.7,,
SF,540,Add a new UTF-8 Mode,Victor Stinner,3.7,,
SF,544,Protocols: Structural subtyping (static duck typing),"Ivan Levkivskyi, Jukka Lehtosalo, Łukasz Langa",3.8,,
SF,552,Deterministic pycs,Benjamin Peterson,3.7,,
SF,553,Built-in breakpoint(),Barry Warsaw,3.7,,
SF,557,Data Classes,Eric V. Smith,3.7,,
SF,560,Core support for typing module and generic types,Ivan Levkivskyi,3.7,,
SF,561,Distributing and Packaging Type Information,Ethan Smith,3.7,,
SF,562,Module __getattr__ and __dir__,Ivan Levkivskyi,3.7,,
SF,564,Add new time functions with nanosecond resolution,Victor Stinner,3.7,,
SF,565,Show DeprecationWarning in __main__,Alyssa Coghlan,3.7,,
SF,566,Metadata for Python Software Packages 2.1,Dustin Ingram,3.x,,
SF,567,Context Variables,Yury Selivanov,3.7,,
SF,570,Python Positional-Only Parameters,"Larry Hastings, Pablo Galindo, Mario Corchero, Eric N. Vander Weele",3.8,,
SF,572,Assignment Expressions,"Chris Angelico, Tim Peters, Guido van Rossum",3.8,,
SF,573,Module State Access from C Extension Methods,"Petr Viktorin, Alyssa Coghlan, Eric Snow, Marcel Plch",3.9,,
SF,574,Pickle protocol 5 with out-of-band data,Antoine Pitrou,3.8,,
SF,578,Python Runtime Audit Hooks,Steve Dower,3.8,,
SF,584,Add Union Operators To dict,"Steven D’Aprano, Brandt Bucher",3.9,,
SF,585,Type Hinting Generics In Standard Collections,Łukasz Langa,3.9,,
SF,586,Literal Types,"Michael Lee, Ivan Levkivskyi, Jukka Lehtosalo",3.8,,
SF,587,Python Initialization Configuration,"Victor Stinner, Alyssa Coghlan",3.8,,
SF,589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,Jukka Lehtosalo,3.8,,
SF,591,Adding a final qualifier to typing,"Michael J. Sullivan, Ivan Levkivskyi",3.8,,
SF,592,Adding “Yank” Support to the Simple API,Donald Stufft,,,
SF,593,Flexible function and variable annotations,"Till Varoquaux, Konstantin Kashin",3.9,,
SF,594,Removing dead batteries from the standard library,"Christian Heimes, Brett Cannon",3.11,,
SF,597,Add optional EncodingWarning,Inada Naoki,3.10,,
SF,600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,"Nathaniel J. Smith, Thomas Kluyver",,,
SF,604,Allow writing union types as X | Y,"Philippe PRADOS, Maggie Moss",3.10,,
SF,610,Recording the Direct URL Origin of installed distributions,"Stéphane Bidoul, Chris Jerdonek",,,
SF,612,Parameter Specification Variables,Mark Mendoza,3.10,,
SF,613,Explicit Type Aliases,Shannon Zhu,3.10,,
SF,614,Relaxing Grammar Restrictions On Decorators,Brandt Bucher,3.9,,
SF,615,Support for the IANA Time Zone Database in the Standard Library,Paul Ganssle,3.9,,
SF,616,String methods to remove prefixes and suffixes,Dennis Sweeney,3.9,,
SF,617,New PEG parser for CPython,"Guido van Rossum, Pablo Galindo, Lysandros Nikolaou",3.9,,
SF,618,Add Optional Length-Checking To zip,Brandt Bucher,3.10,,
SF,621,Storing project metadata in pyproject.toml,"Brett Cannon, Dustin Ingram, Paul Ganssle, Pradyun Gedam, Sébastien Eustace, Thomas Kluyver, Tzu-ping Chung",,,
SF,623,Remove wstr from Unicode,Inada Naoki,3.10,,
SF,624,Remove Py_UNICODE encoder APIs,Inada Naoki,3.11,,
SF,626,Precise line numbers for debugging and other tools.,Mark Shannon,3.10,,
SF,627,Recording installed projects,Petr Viktorin,,,
SF,628,Add math.tau,Alyssa Coghlan,3.6,,
SF,629,Versioning PyPI’s Simple API,Donald Stufft,,,
SF,632,Deprecate distutils module,Steve Dower,3.10,,
SF,634,Structural Pattern Matching: Specification,"Brandt Bucher, Guido van Rossum",3.10,,
SF,643,Metadata for Package Source Distributions,Paul Moore,,,
SF,644,Require OpenSSL 1.1.1 or newer,Christian Heimes,3.10,,
SF,646,Variadic Generics,"Mark Mendoza, Matthew Rahtz, Pradeep Kumar Srinivasan, Vincent Siles",3.11,,
SF,647,User-Defined Type Guards,Eric Traut,3.10,,
SF,652,Maintaining the Stable ABI,Petr Viktorin,3.10,,
SF,654,Exception Groups and except*,"Irit Katriel, Yury Selivanov, Guido van Rossum",3.11,,
SF,655,Marking individual TypedDict items as required or potentially-missing,David Foster,3.11,,
SF,656,Platform Tag for Linux Distributions Using Musl,Tzu-ping Chung,,,
SF,657,Include Fine Grained Error Locations in Tracebacks,"Pablo Galindo, Batuhan Taskaya, Ammar Askar",3.11,,
SF,660,Editable installs for pyproject.toml based builds (wheel based),"Daniel Holth, Stéphane Bidoul",,,
SF,669,Low Impact Monitoring for CPython,Mark Shannon,3.12,,
SF,670,Convert macros to functions in the Python C API,"Erlend Egeberg Aasland, Victor Stinner",3.11,,
SF,673,Self Type,"Pradeep Kumar Srinivasan, James Hilton-Balfe",3.11,,
SF,675,Arbitrary Literal String Type,"Pradeep Kumar Srinivasan, Graham Bleaney",3.11,,
SF,678,Enriching Exceptions with Notes,Zac Hatfield-Dodds,3.11,,
SF,680,tomllib: Support for Parsing TOML in the Standard Library,"Taneli Hukkinen, Shantanu Jain",3.11,,
SF,681,Data Class Transforms,"Erik De Bonte, Eric Traut",3.11,,
SF,682,Format Specifier for Signed Zero,John Belmonte,3.11,,
SF,683,"Immortal Objects, Using a Fixed Refcount","Eric Snow, Eddie Elizondo",3.12,,
SF,684,A Per-Interpreter GIL,Eric Snow,3.12,,
SF,688,Making the buffer protocol accessible in Python,Jelle Zijlstra,3.12,,
SF,689,Unstable C API tier,Petr Viktorin,3.12,,
SF,692,Using TypedDict for more precise **kwargs typing,Franek Magiera,3.12,,
SF,695,Type Parameter Syntax,Eric Traut,3.12,,
SF,697,Limited C API for Extending Opaque Types,Petr Viktorin,3.12,,
SF,698,Override Decorator for Static Typing,"Steven Troxler, Joshua Xu, Shannon Zhu",3.12,,
SF,700,Additional Fields for the Simple API for Package Indexes,Paul Moore,,,
SF,706,Filter for tarfile.extractall,Petr Viktorin,3.12,,
SF,709,Inlined comprehensions,Carl Meyer,3.12,,
SF,715,Disabling bdist_egg distribution uploads on PyPI,William Woodruff,,,
SF,721,Using tarfile.data_filter for source distribution extraction,Petr Viktorin,3.12,,
SF,723,Inline script metadata,Ofek Lev,,,
SF,730,Adding iOS as a supported platform,Russell Keith-Magee,3.13,,
SF,737,C API to format a type fully qualified name,Victor Stinner,3.13,,
SF,3101,Advanced String Formatting,Talin,3,,
SF,3102,Keyword-Only Arguments,Talin,3,,
SF,3104,Access to Names in Outer Scopes,Ka-Ping Yee,3,,
SF,3105,Make print a function,Georg Brandl,3,,
SF,3106,"Revamping dict.keys(), .values() and .items()",Guido van Rossum,3,,
SF,3107,Function Annotations,"Collin Winter, Tony Lownds",3,,
SF,3108,Standard Library Reorganization,Brett Cannon,3,,
SF,3109,Raising Exceptions in Python 3000,Collin Winter,3,,
SF,3110,Catching Exceptions in Python 3000,Collin Winter,3,,
SF,3111,Simple input built-in in Python 3000,Andre Roberge,3,,
SF,3112,Bytes literals in Python 3000,Jason Orendorff,3,,
SF,3113,Removal of Tuple Parameter Unpacking,Brett Cannon,3,,
SF,3114,Renaming iterator.next() to iterator.__next__(),Ka-Ping Yee,3,,
SF,3115,Metaclasses in Python 3000,Talin,3,,
SF,3116,New I/O,"Daniel Stutzbach, Guido van Rossum, Mike Verdone",3,,
SF,3118,Revising the buffer protocol,"Travis Oliphant, Carl Banks",3,,
SF,3119,Introducing Abstract Base Classes,"Guido van Rossum, Talin",3,,
SF,3120,Using UTF-8 as the default source encoding,Martin von Löwis,3,,
SF,3121,Extension Module Initialization and Finalization,Martin von Löwis,3,,
SF,3123,Making PyObject_HEAD conform to standard C,Martin von Löwis,3,,
SF,3127,Integer Literal Support and Syntax,Patrick Maupin,3,,
SF,3129,Class Decorators,Collin Winter,3,,
SF,3131,Supporting Non-ASCII Identifiers,Martin von Löwis,3,,
SF,3132,Extended Iterable Unpacking,Georg Brandl,3,,
SF,3134,Exception Chaining and Embedded Tracebacks,Ka-Ping Yee,3,,
SF,3135,New Super,"Calvin Spealman, Tim Delaney, Lie Ryan",3,,
SF,3137,Immutable Bytes and Mutable Buffer,Guido van Rossum,3,,
SF,3138,String representation in Python 3000,Atsuo Ishimoto,3,,
SF,3141,A Type Hierarchy for Numbers,Jeffrey Yasskin,3,,
SF,3144,IP Address Manipulation Library for the Python Standard Library,Peter Moody,3.3,,
SF,3147,PYC Repository Directories,Barry Warsaw,3.2,,
SF,3148,futures - execute computations asynchronously,Brian Quinlan,3.2,,
SF,3149,ABI version tagged .so files,Barry Warsaw,3.2,,
SF,3151,Reworking the OS and IO exception hierarchy,Antoine Pitrou,3.3,,
SF,3154,Pickle protocol version 4,Antoine Pitrou,3.4,,
SF,3155,Qualified name for classes and functions,Antoine Pitrou,3.3,,
SF,3156,Asynchronous IO Support Rebooted: the “asyncio” Module,Guido van Rossum,3.3,,
