description,title,code_block,python_version
,pep-371-the-multiprocessing-package,"import time
from multiprocessing import Pool, Manager

def factorial(N, dictionary):
    ""Compute a factorial.""
    # Calculate the result
    fact = 1L
    for i in range(1, N+1):
        fact = fact * i

    # Store result in dictionary
    dictionary[N] = fact

if __name__ == '__main__':
    p = Pool(5)
    mgr = Manager()
    d = mgr.dict()         # Create shared dictionary

    # Run tasks using the pool
    for N in range(1, 1000, 10):
        p.apply_async(factorial, (N, d))

    # Mark pool as closed -- no more tasks can be added.
    p.close()

    # Wait for tasks to exit
    p.join()

    # Output results
    for k, v in sorted(d.items()):
        print k, v
",2.6
"PEP 3101: Advanced String Formatting

In Python 3.0, the % operator is supplemented by a more powerful string
formatting method, format().  Support for the str.format() method
has been backported to Python 2.6.
In 2.6, both 8-bit and Unicode strings have a .format() method that
treats the string as a template and takes the arguments to be formatted.
The formatting template uses curly brackets ({, }) as special characters:
>>> # Substitute positional argument 0 into the string.
>>> ""User ID: {0}"".format(""root"")
'User ID: root'
>>> # Use the named keyword arguments
>>> ""User ID: {uid}   Last seen: {last_login}"".format(
...    uid=""root"",
...    last_login = ""5 Mar 2008 07:20"")
'User ID: root   Last seen: 5 Mar 2008 07:20'


Curly brackets can be escaped by doubling them:
>>> ""Empty dict: {{}}"".format()
""Empty dict: {}""


Field names can be integers indicating positional arguments, such as
{0}, {1}, etc. or names of keyword arguments.  You can also
supply compound field names that read attributes or access dictionary keys:
>>> import sys
>>> print 'Platform: {0.platform}\nPython version: {0.version}'.format(sys)
Platform: darwin
Python version: 2.6a1+ (trunk:61261M, Mar  5 2008, 20:29:41)
[GCC 4.0.1 (Apple Computer, Inc. build 5367)]'

>>> import mimetypes
>>> 'Content-type: {0[.mp4]}'.format(mimetypes.types_map)
'Content-type: video/mp4'


Note that when using dictionary-style notation such as [.mp4], you
don’t need to put any quotation marks around the string; it will look
up the value using .mp4 as the key.  Strings beginning with a
number will be converted to an integer.  You can’t write more
complicated expressions inside a format string.
So far we’ve shown how to specify which field to substitute into the
resulting string.  The precise formatting used is also controllable by
adding a colon followed by a format specifier.  For example:
>>> # Field 0: left justify, pad to 15 characters
>>> # Field 1: right justify, pad to 6 characters
>>> fmt = '{0:15} ${1:>6}'
>>> fmt.format('Registration', 35)
'Registration    $    35'
>>> fmt.format('Tutorial', 50)
'Tutorial        $    50'
>>> fmt.format('Banquet', 125)
'Banquet         $   125'


Format specifiers can reference other fields through nesting:
>>> fmt = '{0:{1}}'
>>> width = 15
>>> fmt.format('Invoice #1234', width)
'Invoice #1234  '
>>> width = 35
>>> fmt.format('Invoice #1234', width)
'Invoice #1234                      '


The alignment of a field within the desired width can be specified:






Character
Effect



< (default)
Left-align

>
Right-align

^
Center

=
(For numeric types only) Pad after the sign.



Format specifiers can also include a presentation type, which
controls how the value is formatted.  For example, floating-point numbers
can be formatted as a general number or in exponential notation:
>>> '{0:g}'.format(3.75)
'3.75'
>>> '{0:e}'.format(3.75)
'3.750000e+00'


A variety of presentation types are available.  Consult the 2.6
documentation for a complete list; here’s a sample:






b
Binary. Outputs the number in base 2.

c
Character. Converts the integer to the corresponding Unicode character
before printing.

d
Decimal Integer. Outputs the number in base 10.

o
Octal format. Outputs the number in base 8.

x
Hex format. Outputs the number in base 16, using lower-case letters for
the digits above 9.

e
Exponent notation. Prints the number in scientific notation using the
letter ‘e’ to indicate the exponent.

g
General format. This prints the number as a fixed-point number, unless
the number is too large, in which case it switches to ‘e’ exponent
notation.

n
Number. This is the same as ‘g’ (for floats) or ‘d’ (for integers),
except that it uses the current locale setting to insert the appropriate
number separator characters.

%
Percentage. Multiplies the number by 100 and displays in fixed (‘f’)
format, followed by a percent sign.



Classes and types can define a __format__() method to control how they’re
formatted.  It receives a single argument, the format specifier:
def __format__(self, format_spec):
    if isinstance(format_spec, unicode):
        return unicode(str(self))
    else:
        return str(self)


There’s also a format() builtin that will format a single
value.  It calls the type’s __format__() method with the
provided specifier:
>>> format(75.6564, '.2f')
'75.66'



See also

Format String Syntax
The reference documentation for format fields.
PEP 3101 - Advanced String Formatting
PEP written by Talin. Implemented by Eric Smith.",pep-3101-advanced-string-formatting,">>> # Substitute positional argument 0 into the string.
>>> ""User ID: {0}"".format(""root"")
'User ID: root'
>>> # Use the named keyword arguments
>>> ""User ID: {uid}   Last seen: {last_login}"".format(
...    uid=""root"",
...    last_login = ""5 Mar 2008 07:20"")
'User ID: root   Last seen: 5 Mar 2008 07:20'
",2.6
,pep-3101-advanced-string-formatting,">>> ""Empty dict: {{}}"".format()
""Empty dict: {}""
",2.6
,pep-3101-advanced-string-formatting,">>> import sys
>>> print 'Platform: {0.platform}\nPython version: {0.version}'.format(sys)
Platform: darwin
Python version: 2.6a1+ (trunk:61261M, Mar  5 2008, 20:29:41)
[GCC 4.0.1 (Apple Computer, Inc. build 5367)]'

>>> import mimetypes
>>> 'Content-type: {0[.mp4]}'.format(mimetypes.types_map)
'Content-type: video/mp4'
",2.6
,pep-3101-advanced-string-formatting,">>> # Field 0: left justify, pad to 15 characters
>>> # Field 1: right justify, pad to 6 characters
>>> fmt = '{0:15} ${1:>6}'
>>> fmt.format('Registration', 35)
'Registration    $    35'
>>> fmt.format('Tutorial', 50)
'Tutorial        $    50'
>>> fmt.format('Banquet', 125)
'Banquet         $   125'
",2.6
,pep-3101-advanced-string-formatting,">>> fmt = '{0:{1}}'
>>> width = 15
>>> fmt.format('Invoice #1234', width)
'Invoice #1234  '
>>> width = 35
>>> fmt.format('Invoice #1234', width)
'Invoice #1234                      '
",2.6
,pep-3101-advanced-string-formatting,">>> '{0:g}'.format(3.75)
'3.75'
>>> '{0:e}'.format(3.75)
'3.750000e+00'
",2.6
,pep-3101-advanced-string-formatting,"def __format__(self, format_spec):
    if isinstance(format_spec, unicode):
        return unicode(str(self))
    else:
        return str(self)
",2.6
,pep-3101-advanced-string-formatting,">>> format(75.6564, '.2f')
'75.66'
",2.6
"PEP 3105: print As a Function

The print statement becomes the print() function in Python 3.0.
Making print() a function makes it possible to replace the function
by doing def print(...) or importing a new function from somewhere else.
Python 2.6 has a __future__ import that removes print as language
syntax, letting you use the functional form instead.  For example:
>>> from __future__ import print_function
>>> print('# of entries', len(dictionary), file=sys.stderr)


The signature of the new function is:
def print(*args, sep=' ', end='\n', file=None)

The parameters are:


args: positional arguments whose values will be printed out.
sep: the separator, which will be printed between arguments.
end: the ending text, which will be printed after all of the
arguments have been output.
file: the file object to which the output will be sent.



See also

PEP 3105 - Make print a function
PEP written by Georg Brandl.",pep-3105-print-as-a-function,">>> from __future__ import print_function
>>> print('# of entries', len(dictionary), file=sys.stderr)
",2.6
"PEP 3110: Exception-Handling Changes

One error that Python programmers occasionally make
is writing the following code:
try:
    ...
except TypeError, ValueError:  # Wrong!
    ...


The author is probably trying to catch both TypeError and
ValueError exceptions, but this code actually does something
different: it will catch TypeError and bind the resulting
exception object to the local name ""ValueError"".  The
ValueError exception will not be caught at all.  The correct
code specifies a tuple of exceptions:
try:
    ...
except (TypeError, ValueError):
    ...


This error happens because the use of the comma here is ambiguous:
does it indicate two different nodes in the parse tree, or a single
node that’s a tuple?
Python 3.0 makes this unambiguous by replacing the comma with the word
“as”.  To catch an exception and store the exception object in the
variable exc, you must write:
try:
    ...
except TypeError as exc:
    ...


Python 3.0 will only support the use of “as”, and therefore interprets
the first example as catching two different exceptions.  Python 2.6
supports both the comma and “as”, so existing code will continue to
work.  We therefore suggest using “as” when writing new Python code
that will only be executed with 2.6.

See also

PEP 3110 - Catching Exceptions in Python 3000
PEP written and implemented by Collin Winter.",pep-3110-exception-handling-changes,"try:
    ...
except TypeError, ValueError:  # Wrong!
    ...
",2.6
,pep-3110-exception-handling-changes,"try:
    ...
except (TypeError, ValueError):
    ...
",2.6
,pep-3110-exception-handling-changes,"try:
    ...
except TypeError as exc:
    ...
",2.6
"PEP 3112: Byte Literals

Python 3.0 adopts Unicode as the language’s fundamental string type and
denotes 8-bit literals differently, either as b'string'
or using a bytes constructor.  For future compatibility,
Python 2.6 adds bytes as a synonym for the str type,
and it also supports the b'' notation.
The 2.6 str differs from 3.0’s bytes type in various
ways; most notably, the constructor is completely different.  In 3.0,
bytes([65, 66, 67]) is 3 elements long, containing the bytes
representing ABC; in 2.6, bytes([65, 66, 67]) returns the
12-byte string representing the str() of the list.
The primary use of bytes in 2.6 will be to write tests of
object type such as isinstance(x, bytes).  This will help the 2to3
converter, which can’t tell whether 2.x code intends strings to
contain either characters or 8-bit bytes; you can now
use either bytes or str to represent your intention
exactly, and the resulting code will also be correct in Python 3.0.
There’s also a __future__ import that causes all string literals
to become Unicode strings.  This means that \u escape sequences
can be used to include Unicode characters:
from __future__ import unicode_literals

s = ('\u751f\u3080\u304e\u3000\u751f\u3054'
     '\u3081\u3000\u751f\u305f\u307e\u3054')

print len(s)               # 12 Unicode characters


At the C level, Python 3.0 will rename the existing 8-bit
string type, called PyStringObject in Python 2.x,
to PyBytesObject.  Python 2.6 uses #define
to support using the names PyBytesObject(),
PyBytes_Check(), PyBytes_FromStringAndSize(),
and all the other functions and macros used with strings.
Instances of the bytes type are immutable just
as strings are.  A new bytearray type stores a mutable
sequence of bytes:
>>> bytearray([65, 66, 67])
bytearray(b'ABC')
>>> b = bytearray(u'\u21ef\u3244', 'utf-8')
>>> b
bytearray(b'\xe2\x87\xaf\xe3\x89\x84')
>>> b[0] = '\xe3'
>>> b
bytearray(b'\xe3\x87\xaf\xe3\x89\x84')
>>> unicode(str(b), 'utf-8')
u'\u31ef \u3244'


Byte arrays support most of the methods of string types, such as
startswith()/endswith(), find()/rfind(),
and some of the methods of lists, such as append(),
pop(),  and reverse().
>>> b = bytearray('ABC')
>>> b.append('d')
>>> b.append(ord('e'))
>>> b
bytearray(b'ABCde')


There’s also a corresponding C API, with
PyByteArray_FromObject(),
PyByteArray_FromStringAndSize(),
and various other functions.

See also

PEP 3112 - Bytes literals in Python 3000
PEP written by Jason Orendorff; backported to 2.6 by Christian Heimes.",pep-3112-byte-literals,"from __future__ import unicode_literals

s = ('\u751f\u3080\u304e\u3000\u751f\u3054'
     '\u3081\u3000\u751f\u305f\u307e\u3054')

print len(s)               # 12 Unicode characters
",2.6
,pep-3112-byte-literals,">>> bytearray([65, 66, 67])
bytearray(b'ABC')
>>> b = bytearray(u'\u21ef\u3244', 'utf-8')
>>> b
bytearray(b'\xe2\x87\xaf\xe3\x89\x84')
>>> b[0] = '\xe3'
>>> b
bytearray(b'\xe3\x87\xaf\xe3\x89\x84')
>>> unicode(str(b), 'utf-8')
u'\u31ef \u3244'
",2.6
,pep-3112-byte-literals,">>> b = bytearray('ABC')
>>> b.append('d')
>>> b.append(ord('e'))
>>> b
bytearray(b'ABCde')
",2.6
"PEP 3119: Abstract Base Classes

Some object-oriented languages such as Java support interfaces,
declaring that a class has a given set of methods or supports a given
access protocol.  Abstract Base Classes (or ABCs) are an equivalent
feature for Python. The ABC support consists of an abc module
containing a metaclass called ABCMeta, special handling of
this metaclass by the isinstance() and issubclass()
builtins, and a collection of basic ABCs that the Python developers
think will be widely useful.  Future versions of Python will probably
add more ABCs.
Let’s say you have a particular class and wish to know whether it supports
dictionary-style access.  The phrase “dictionary-style” is vague, however.
It probably means that accessing items with obj[1] works.
Does it imply that setting items with obj[2] = value works?
Or that the object will have keys(), values(), and items()
methods?  What about the iterative variants  such as iterkeys()?  copy()
and update()?  Iterating over the object with iter()?
The Python 2.6 collections module includes a number of
different ABCs that represent these distinctions.  Iterable
indicates that a class defines __iter__(), and
Container means the class defines a __contains__()
method and therefore supports x in y expressions.  The basic
dictionary interface of getting items, setting items, and
keys(), values(), and items(), is defined by the
MutableMapping ABC.
You can derive your own classes from a particular ABC
to indicate they support that ABC’s interface:
import collections

class Storage(collections.MutableMapping):
    ...


Alternatively, you could write the class without deriving from
the desired ABC and instead register the class by
calling the ABC’s register() method:
import collections

class Storage:
    ...

collections.MutableMapping.register(Storage)


For classes that you write, deriving from the ABC is probably clearer.
The register()  method is useful when you’ve written a new
ABC that can describe an existing type or class, or if you want
to declare that some third-party class implements an ABC.
For example, if you defined a PrintableType ABC,
it’s legal to do:
# Register Python's types
PrintableType.register(int)
PrintableType.register(float)
PrintableType.register(str)


Classes should obey the semantics specified by an ABC, but
Python can’t check this; it’s up to the class author to
understand the ABC’s requirements and to implement the code accordingly.
To check whether an object supports a particular interface, you can
now write:
def func(d):
    if not isinstance(d, collections.MutableMapping):
        raise ValueError(""Mapping object expected, not %r"" % d)


Don’t feel that you must now begin writing lots of checks as in the
above example.  Python has a strong tradition of duck-typing, where
explicit type-checking is never done and code simply calls methods on
an object, trusting that those methods will be there and raising an
exception if they aren’t.  Be judicious in checking for ABCs and only
do it where it’s absolutely necessary.
You can write your own ABCs by using abc.ABCMeta as the
metaclass in a class definition:
from abc import ABCMeta, abstractmethod

class Drawable():
    __metaclass__ = ABCMeta

    @abstractmethod
    def draw(self, x, y, scale=1.0):
        pass

    def draw_doubled(self, x, y):
        self.draw(x, y, scale=2.0)


class Square(Drawable):
    def draw(self, x, y, scale):
        ...


In the Drawable ABC above, the draw_doubled() method
renders the object at twice its size and can be implemented in terms
of other methods described in Drawable.  Classes implementing
this ABC therefore don’t need to provide their own implementation
of draw_doubled(), though they can do so.  An implementation
of draw() is necessary, though; the ABC can’t provide
a useful generic implementation.
You can apply the @abstractmethod decorator to methods such as
draw() that must be implemented; Python will then raise an
exception for classes that don’t define the method.
Note that the exception is only raised when you actually
try to create an instance of a subclass lacking the method:
>>> class Circle(Drawable):
...     pass
...
>>> c = Circle()
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
TypeError: Can't instantiate abstract class Circle with abstract methods draw
>>>


Abstract data attributes can be declared using the
@abstractproperty decorator:
from abc import abstractproperty
...

@abstractproperty
def readonly(self):
   return self._x


Subclasses must then define a readonly() property.

See also

PEP 3119 - Introducing Abstract Base Classes
PEP written by Guido van Rossum and Talin.
Implemented by Guido van Rossum.
Backported to 2.6 by Benjamin Aranguren, with Alex Martelli.",pep-3119-abstract-base-classes,"import collections

class Storage(collections.MutableMapping):
    ...
",2.6
,pep-3119-abstract-base-classes,"import collections

class Storage:
    ...

collections.MutableMapping.register(Storage)
",2.6
,pep-3119-abstract-base-classes,"# Register Python's types
PrintableType.register(int)
PrintableType.register(float)
PrintableType.register(str)
",2.6
,pep-3119-abstract-base-classes,"def func(d):
    if not isinstance(d, collections.MutableMapping):
        raise ValueError(""Mapping object expected, not %r"" % d)
",2.6
,pep-3119-abstract-base-classes,"from abc import ABCMeta, abstractmethod

class Drawable():
    __metaclass__ = ABCMeta

    @abstractmethod
    def draw(self, x, y, scale=1.0):
        pass

    def draw_doubled(self, x, y):
        self.draw(x, y, scale=2.0)


class Square(Drawable):
    def draw(self, x, y, scale):
        ...
",2.6
,pep-3119-abstract-base-classes,">>> class Circle(Drawable):
...     pass
...
>>> c = Circle()
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
TypeError: Can't instantiate abstract class Circle with abstract methods draw
>>>
",2.6
,pep-3119-abstract-base-classes,"from abc import abstractproperty
...

@abstractproperty
def readonly(self):
   return self._x
",2.6
"PEP 3127: Integer Literal Support and Syntax

Python 3.0 changes the syntax for octal (base-8) integer literals,
prefixing them with “0o” or “0O” instead of a leading zero, and adds
support for binary (base-2) integer literals, signalled by a “0b” or
“0B” prefix.
Python 2.6 doesn’t drop support for a leading 0 signalling
an octal number, but it does add support for “0o” and “0b”:
>>> 0o21, 2*8 + 1
(17, 17)
>>> 0b101111
47


The oct() builtin still returns numbers
prefixed with a leading zero, and a new bin()
builtin returns the binary representation for a number:
>>> oct(42)
'052'
>>> future_builtins.oct(42)
'0o52'
>>> bin(173)
'0b10101101'


The int() and long() builtins will now accept the “0o”
and “0b” prefixes when base-8 or base-2 are requested, or when the
base argument is zero (signalling that the base used should be
determined from the string):
>>> int ('0o52', 0)
42
>>> int('1101', 2)
13
>>> int('0b1101', 2)
13
>>> int('0b1101', 0)
13



See also

PEP 3127 - Integer Literal Support and Syntax
PEP written by Patrick Maupin; backported to 2.6 by
Eric Smith.",pep-3127-integer-literal-support-and-syntax,">>> 0o21, 2*8 + 1
(17, 17)
>>> 0b101111
47
",2.6
,pep-3127-integer-literal-support-and-syntax,">>> oct(42)
'052'
>>> future_builtins.oct(42)
'0o52'
>>> bin(173)
'0b10101101'
",2.6
,pep-3127-integer-literal-support-and-syntax,">>> int ('0o52', 0)
42
>>> int('1101', 2)
13
>>> int('0b1101', 2)
13
>>> int('0b1101', 0)
13
",2.6
"PEP 3129: Class Decorators

Decorators have been extended from functions to classes.  It’s now legal to
write:
@foo
@bar
class A:
  pass


This is equivalent to:
class A:
  pass

A = foo(bar(A))



See also

PEP 3129 - Class Decorators
PEP written by Collin Winter.",pep-3129-class-decorators,"@foo
@bar
class A:
  pass
",2.6
,pep-3129-class-decorators,"class A:
  pass

A = foo(bar(A))
",2.6
"The fractions Module

To fill out the hierarchy of numeric types, the fractions
module provides a rational-number class.  Rational numbers store their
values as a numerator and denominator forming a fraction, and can
exactly represent numbers such as 2/3 that floating-point numbers
can only approximate.
The Fraction constructor takes two Integral values
that will be the numerator and denominator of the resulting fraction.
>>> from fractions import Fraction
>>> a = Fraction(2, 3)
>>> b = Fraction(2, 5)
>>> float(a), float(b)
(0.66666666666666663, 0.40000000000000002)
>>> a+b
Fraction(16, 15)
>>> a/b
Fraction(5, 3)


For converting floating-point numbers to rationals,
the float type now has an as_integer_ratio() method that returns
the numerator and denominator for a fraction that evaluates to the same
floating-point value:
>>> (2.5) .as_integer_ratio()
(5, 2)
>>> (3.1415) .as_integer_ratio()
(7074029114692207L, 2251799813685248L)
>>> (1./3) .as_integer_ratio()
(6004799503160661L, 18014398509481984L)


Note that values that can only be approximated by floating-point
numbers, such as 1./3, are not simplified to the number being
approximated; the fraction attempts to match the floating-point value
exactly.
The fractions module is based upon an implementation by Sjoerd
Mullender that was in Python’s Demo/classes/ directory for a
long time.  This implementation was significantly updated by Jeffrey
Yasskin.",pep-3141-a-type-hierarchy-for-numbers - the-fractions-module,">>> from fractions import Fraction
>>> a = Fraction(2, 3)
>>> b = Fraction(2, 5)
>>> float(a), float(b)
(0.66666666666666663, 0.40000000000000002)
>>> a+b
Fraction(16, 15)
>>> a/b
Fraction(5, 3)
",2.6
